Geneid	NPYCT	NPYCU	NSNCH	NPYCW	NPYCX	NPYCZ	NPYCY	NPYGA	NPYGB
Glyma.01G020400.Wm82.a4.v1	3.23	2.33	2.80	4.30	3.80	2.26	3.14	4.71	2.61
Glyma.01G020450.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.67	0.00	0.00	0.00
Glyma.01G020500.Wm82.a4.v1	0.73	0.79	0.88	1.21	0.87	0.41	1.13	0.84	0.48
Glyma.01G020600.Wm82.a4.v1	0.35	1.02	0.24	0.45	0.19	0.00	0.40	0.00	0.00
Glyma.01G020700.Wm82.a4.v1	7.31	3.59	8.64	4.63	3.02	8.75	9.12	1.21	2.15
Glyma.01G020800.Wm82.a4.v1	0.14	0.15	0.01	0.26	0.06	0.04	0.08	0.04	0.00
Glyma.01G020900.Wm82.a4.v1	0.27	0.17	0.32	0.49	0.39	0.29	0.58	0.16	0.10
Glyma.01G021000.Wm82.a4.v1	0.10	0.22	0.17	0.06	0.00	0.00	0.11	0.05	0.00
Glyma.01G021100.Wm82.a4.v1	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.08	0.00
Glyma.01G021200.Wm82.a4.v1	3.75	3.55	3.09	3.84	3.82	2.41	3.33	2.94	2.08
Glyma.01G021301.Wm82.a4.v1	3.52	2.58	3.19	4.00	3.97	4.41	3.72	3.90	3.26
Glyma.01G021400.Wm82.a4.v1	12.40	13.29	11.70	13.53	12.29	11.56	15.55	12.13	10.86
Glyma.01G021450.Wm82.a4.v1	0.14	0.00	0.00	0.00	0.07	0.30	0.00	0.00	0.00
Glyma.01G021500.Wm82.a4.v1	0.38	0.83	0.25	0.97	0.41	0.41	0.00	0.00	0.31
Glyma.01G021600.Wm82.a4.v1	15.98	17.43	16.71	18.71	16.11	22.94	26.18	17.73	9.67
Glyma.01G021700.Wm82.a4.v1	0.12	0.25	0.04	0.07	0.31	0.19	0.53	0.36	0.09
Glyma.01G021800.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.00	0.00
Glyma.01G021900.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Glyma.01G022100.Wm82.a4.v1	146.77	161.31	202.10	154.40	137.96	140.31	139.02	171.42	164.89
Glyma.01G022300.Wm82.a4.v1	0.20	0.00	0.17	0.06	0.11	0.43	0.28	0.05	0.00
Glyma.01G022400.Wm82.a4.v1	8.06	7.29	7.47	12.80	11.43	10.30	13.14	6.73	8.17
Glyma.01G022500.Wm82.a4.v1	7.88	8.49	8.15	12.04	8.39	7.59	12.28	8.49	5.48
Glyma.01G022600.Wm82.a4.v1	7.10	8.20	7.88	5.65	5.33	7.77	8.12	5.65	5.11
Glyma.01G022700.Wm82.a4.v1	5.04	4.94	4.55	7.22	5.61	5.33	5.35	4.79	3.27
Glyma.01G022800.Wm82.a4.v1	3.10	2.59	3.23	3.61	3.60	2.78	2.70	2.86	3.14
Glyma.01G022900.Wm82.a4.v1	1.16	1.68	1.34	2.70	2.69	1.49	2.25	1.48	0.63
Glyma.01G023000.Wm82.a4.v1	44.34	47.10	34.07	43.07	40.23	43.55	50.37	45.89	58.68
Glyma.01G023100.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00
Glyma.01G023200.Wm82.a4.v1	5.84	5.50	5.13	5.10	4.42	4.98	6.05	2.60	3.97
Glyma.01G023300.Wm82.a4.v1	19.13	18.09	16.08	15.24	17.25	14.14	15.60	19.87	6.73
Glyma.01G023400.Wm82.a4.v1	0.12	0.00	0.00	0.08	0.00	0.00	0.07	0.00	0.00
Glyma.01G023500.Wm82.a4.v1	14.97	13.24	12.43	15.24	15.27	15.76	13.86	13.97	11.98
Glyma.01G023600.Wm82.a4.v1	1.17	1.29	1.14	1.46	1.36	1.40	1.67	1.13	0.74
Glyma.01G023700.Wm82.a4.v1	3.96	3.19	2.61	3.87	4.20	4.06	4.01	4.17	2.82
Glyma.01G023767.Wm82.a4.v1	1.27	1.72	1.99	1.80	0.64	1.29	1.79	1.01	2.78
